date,spends_search,spends_social,spends_tv,spends_display,revenue
2023-01-02,8077.497912532931,5747.283535305984,18777.29419411106,4878.66243472857,251.51268492985116
2023-01-09,6324.17417798273,5578.923665875911,17253.57797350383,4128.743947565423,278.71764539933486
2023-01-16,8178.325373918432,5885.104813120584,18664.747826134342,4630.34145620527,318.78959583515797
2023-01-23,8458.810529984221,7444.216966198152,17534.24864243562,3740.83991827605,337.101496202522
2023-01-30,8970.073000360524,5768.385505695768,18158.28252244511,4053.765942852535,338.8146063483295
2023-02-06,8569.579100994528,5924.114866566447,18634.40907810374,3938.2435081676717,324.5349608533534
2023-02-13,8482.51990196801,6109.6622325160215,16877.104752221963,4127.049063239759,301.5577155999831
2023-02-20,9545.372029414717,6642.162735810902,20132.090622552998,3708.138316462651,326.49839876450216
2023-02-27,8672.78876006594,5652.370963079359,16481.435012308444,4401.277469312043,305.57401705285326
2023-03-06,9216.908547044572,5559.175429381822,13632.66265672588,4110.288519468272,309.4100335062047
2023-03-13,10327.536823115035,6467.182877327978,13668.18080198907,3874.845345212967,344.5443656397965
2023-03-20,9663.381480333674,6123.16128715702,16180.813819560075,3846.726243022041,331.45940353979825
2023-03-27,10405.216220581067,5914.778939180164,14871.388248182091,4025.557572863855,315.9264455422864
2023-04-03,8086.865433127639,5551.173736901511,13400.949934995027,3454.6789936842497,299.2165076144722
2023-04-10,9338.22620010285,6784.305924861833,12639.019486036359,4200.361040639905,327.7825962520656
2023-04-17,7885.427716212438,5355.029458114353,14173.360535507603,4035.204330041178,296.6978914334031
2023-04-24,10485.255354292625,6031.112628931302,13245.505932123231,3589.7810689443277,311.0289006621703
2023-05-01,10624.212026717158,5275.895023446953,11809.127459481635,3351.729140233995,314.3518872372557
2023-05-08,8528.144479308732,5648.424498078962,22386.804788733498,4233.778554178493,328.497388007514
2023-05-15,8971.332505243234,5354.617816566129,14864.392362955741,3821.0340658757527,317.54190411667133
2023-05-22,9874.021564154022,4800.303670428503,13276.617043582479,3863.603327716689,282.5318743182518
2023-05-29,8002.209171948904,5463.06466643468,13224.16331137475,4140.074717330482,311.36198315136846
2023-06-05,9655.56463832785,5404.318695316939,15333.751712120082,4182.432892871561,313.586541353184
2023-06-12,8536.667630714428,5057.692252560281,11733.315257080274,3646.9134192109473,308.1977516767021
2023-06-19,7543.447675520787,4529.769365480263,15336.327920892676,3993.456818789081,312.6156602661223
2023-06-26,8309.69073592962,5984.829949650489,14284.782588924894,4993.754429955956,292.9497827504788
